Age,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,0.065617,0.066029,0.050357,0.048614,0.048689,0.043288,0.042046,0.036521,0.033826,0.033223,0.029709,0.030313,0.034305,0.031127,0.028593,0.026065,0.024859,0.025756,0.024851,0.024945,0.023675,0.022383,0.022433,0.021464,0.021971,0.020508,0.020095,0.018957,0.018338,0.018441,0.017678,0.017296,0.016982,0.016017,0.015370,0.014192,0.013676,0.011954,0.010936,0.009191,0.008545,0.007882,0.007290,0.006802,0.006636,0.006288,0.006081,0.005802,0.005247,0.005289,0.005078,0.004856,0.004387,0.004175,0.004262,0.004169,0.004036,0.003649,0.003666,0.003679,0.003509
1,0.004736,0.004889,0.003524,0.003515,0.003111,0.002861,0.002761,0.002338,0.002149,0.002065,0.001800,0.001847,0.001721,0.001753,0.001495,0.001367,0.001219,0.001459,0.001179,0.001218,0.001240,0.001082,0.001104,0.001118,0.001106,0.001063,0.001101,0.001023,0.000978,0.000966,0.000989,0.001037,0.000956,0.000831,0.000825,0.000676,0.000802,0.000650,0.000645,0.000497,0.000536,0.000522,0.000479,0.000487,0.000443,0.000340,0.000365,0.000373,0.000370,0.000317,0.000343,0.000305,0.000301,0.000281,0.000224,0.000283,0.000289,0.000282,0.000232,0.000241,0.000202
2,0.001734,0.001848,0.001443,0.001355,0.001422,0.001251,0.001164,0.001039,0.001006,0.001084,0.001013,0.000937,0.000876,0.000840,0.000848,0.000848,0.000668,0.000792,0.000609,0.000644,0.000586,0.000605,0.000701,0.000534,0.000596,0.000551,0.000575,0.000539,0.000555,0.000410,0.000469,0.000632,0.000506,0.000429,0.000466,0.000406,0.000451,0.000401,0.000391,0.000425,0.000288,0.000319,0.000227,0.000248,0.000257,0.000219,0.000170,0.000272,0.000276,0.000185,0.000225,0.000177,0.000191,0.000151,0.000131,0.000148,0.000167,0.000147,0.000160,0.000132,0.000159
3,0.001191,0.001137,0.000788,0.000908,0.000868,0.000839,0.000791,0.000768,0.000760,0.000758,0.000634,0.000651,0.000629,0.000613,0.000616,0.000673,0.000507,0.000575,0.000436,0.000480,0.000500,0.000493,0.000448,0.000459,0.000419,0.000396,0.000349,0.000466,0.000348,0.000378,0.000338,0.000355,0.000402,0.000312,0.000390,0.000281,0.000288,0.000253,0.000273,0.000281,0.000210,0.000273,0.000201,0.000245,0.000158,0.000139,0.000170,0.000210,0.000180,0.000184,0.000169,0.000181,0.000135,0.000152,0.000118,0.000140,0.000173,0.000089,0.000087,0.000099,0.000116
4,0.000853,0.000997,0.000738,0.000735,0.000595,0.000689,0.000591,0.000611,0.000543,0.000632,0.000552,0.000460,0.000512,0.000532,0.000581,0.000402,0.000463,0.000474,0.000356,0.000525,0.000432,0.000361,0.000509,0.000400,0.000321,0.000285,0.000329,0.000245,0.000311,0.000236,0.000215,0.000293,0.000256,0.000354,0.000275,0.000299,0.000326,0.000246,0.000249,0.000190,0.000205,0.000214,0.000200,0.000131,0.000194,0.000143,0.000182,0.000142,0.000165,0.000180,0.000179,0.000158,0.000137,0.000125,0.000108,0.000127,0.000082,0.000102,0.000063,0.000082,0.000099
5,0.000708,0.000714,0.000516,0.000543,0.000644,0.000538,0.000529,0.000456,0.000409,0.000457,0.000444,0.000515,0.000437,0.000436,0.000427,0.000362,0.000385,0.000416,0.000367,0.000378,0.000392,0.000323,0.000384,0.000269,0.000303,0.000321,0.000257,0.000290,0.000233,0.000241,0.000254,0.000295,0.000231,0.000282,0.000193,0.000234,0.000205,0.000157,0.000231,0.000222,0.000203,0.000218,0.000118,0.000198,0.000151,0.000148,0.000143,0.000161,0.000099,0.000142,0.000093,0.000087,0.000113,0.000082,0.000130,0.000093,0.000118,0.000078,0.000102,0.000120,0.000087
6,0.000599,0.000649,0.000503,0.000488,0.000441,0.000425,0.000414,0.000393,0.000426,0.000413,0.000393,0.000416,0.000356,0.000418,0.000360,0.000399,0.000338,0.000345,0.000387,0.000354,0.000367,0.000314,0.000304,0.000355,0.000279,0.000284,0.000208,0.000276,0.000290,0.000202,0.000273,0.000285,0.000213,0.000240,0.000205,0.000213,0.000226,0.000204,0.000235,0.000231,0.000198,0.000145,0.000128,0.000149,0.000137,0.000170,0.000118,0.000175,0.000123,0.000126,0.000097,0.000151,0.000069,0.000079,0.000088,0.000078,0.000093,0.000061,0.000082,0.000082,0.000089
7,0.000540,0.000608,0.000425,0.000373,0.000468,0.000339,0.000419,0.000386,0.000363,0.000314,0.000372,0.000336,0.000435,0.000372,0.000336,0.000357,0.000273,0.000318,0.000382,0.000364,0.000236,0.000304,0.000293,0.000315,0.000329,0.000241,0.000285,0.000198,0.000216,0.000211,0.000187,0.000201,0.000236,0.000174,0.000222,0.000228,0.000162,0.000172,0.000182,0.000201,0.000163,0.000127,0.000149,0.000106,0.000181,0.000128,0.000107,0.000133,0.000127,0.000091,0.000115,0.000148,0.000128,0.000133,0.000079,0.000055,0.000063,0.000084,0.000104,0.000063,0.000056
8,0.000432,0.000522,0.000402,0.000376,0.000348,0.000363,0.000374,0.000359,0.000282,0.000366,0.000307,0.000307,0.000318,0.000342,0.000327,0.000360,0.000269,0.000363,0.000356,0.000280,0.000370,0.000289,0.000364,0.000328,0.000263,0.000276,0.000222,0.000256,0.000188,0.000188,0.000202,0.000246,0.000201,0.000254,0.000213,0.000177,0.000218,0.000148,0.000185,0.000174,0.000138,0.000155,0.000135,0.000181,0.000140,0.000127,0.000099,0.000156,0.000174,0.000064,0.000097,0.000143,0.000068,0.000093,0.000092,0.000107,0.000099,0.000094,0.000079,0.000071,0.000102
9,0.000377,0.000444,0.000339,0.000352,0.000301,0.000340,0.000321,0.000331,0.000296,0.000296,0.000264,0.000298,0.000297,0.000312,0.000297,0.000262,0.000200,0.000197,0.000311,0.000249,0.000288,0.000265,0.000243,0.000234,0.000289,0.000243,0.000236,0.000203,0.000191,0.000185,0.000148,0.000215,0.000207,0.000226,0.000157,0.000160,0.000189,0.000122,0.000127,0.000185,0.000155,0.000108,0.000128,0.000110,0.000140,0.000098,0.000150,0.000156,0.000112,0.000113,0.000117,0.000092,0.000116,0.000091,0.000087,0.000058,0.000085,0.000148,0.000037,0.000069,0.000057
10,0.000406,0.000426,0.000325,0.000357,0.000305,0.000313,0.000238,0.000249,0.000280,0.000265,0.000253,0.000246,0.000243,0.000307,0.000243,0.000323,0.000243,0.000231,0.000251,0.000225,0.000286,0.000238,0.000247,0.000236,0.000219,0.000250,0.000229,0.000210,0.000177,0.000159,0.000148,0.000175,0.000256,0.000232,0.000168,0.000172,0.000128,0.000160,0.000187,0.000096,0.000152,0.000139,0.000093,0.000172,0.000173,0.000136,0.000106,0.000136,0.000137,0.000132,0.000098,0.000122,0.000135,0.000132,0.000086,0.000123,0.000075,0.000039,0.000044,0.000068,0.000084
11,0.000361,0.000467,0.000316,0.000401,0.000315,0.000278,0.000310,0.000259,0.000272,0.000269,0.000239,0.000233,0.000261,0.000211,0.000226,0.000243,0.000186,0.000251,0.000214,0.000257,0.000258,0.000223,0.000203,0.000203,0.000232,0.000249,0.000240,0.000184,0.000170,0.000155,0.000138,0.000236,0.000194,0.000176,0.000140,0.000184,0.000130,0.000134,0.000136,0.000161,0.000193,0.000134,0.000146,0.000118,0.000113,0.000102,0.000128,0.000111,0.000123,0.000128,0.000108,0.000113,0.000080,0.000070,0.000099,0.000109,0.000093,0.000098,0.000096,0.000088,0.000136
12,0.000493,0.000386,0.000318,0.000345,0.000358,0.000280,0.000290,0.000290,0.000265,0.000252,0.000240,0.000274,0.000327,0.000280,0.000267,0.000284,0.000218,0.000219,0.000208,0.000236,0.000254,0.000229,0.000266,0.000236,0.000279,0.000217,0.000257,0.000183,0.000195,0.000163,0.000212,0.000198,0.000217,0.000195,0.000220,0.000146,0.000129,0.000163,0.000160,0.000142,0.000123,0.000113,0.000134,0.000163,0.000162,0.000154,0.000126,0.000140,0.000166,0.000155,0.000114,0.000127,0.000108,0.000064,0.000119,0.000116,0.000132,0.000094,0.000070,0.000096,0.000104
13,0.000454,0.000432,0.000339,0.000329,0.000401,0.000358,0.000295,0.000320,0.000264,0.000271,0.000307,0.000269,0.000286,0.000295,0.000287,0.000274,0.000247,0.000250,0.000234,0.000251,0.000259,0.000251,0.000172,0.000201,0.000265,0.000272,0.000205,0.000220,0.000201,0.000167,0.000180,0.000203,0.000205,0.000234,0.000155,0.000165,0.000174,0.000206,0.000178,0.000155,0.000166,0.000139,0.000172,0.000140,0.000156,0.000159,0.000128,0.000134,0.000107,0.000149,0.000114,0.000204,0.000098,0.000134,0.000112,0.000151,0.000154,0.000126,0.000105,0.000098,0.000169
14,0.000453,0.000464,0.000484,0.000408,0.000411,0.000386,0.000365,0.000374,0.000341,0.000285,0.000382,0.000362,0.000373,0.000299,0.000343,0.000285,0.000236,0.000343,0.000288,0.000293,0.000274,0.000291,0.000258,0.000230,0.000259,0.000249,0.000208,0.000248,0.000227,0.000255,0.000195,0.000234,0.000223,0.000251,0.000222,0.000199,0.000215,0.000234,0.000218,0.000235,0.000158,0.000187,0.000142,0.000195,0.000189,0.000189,0.000218,0.000143,0.000182,0.000194,0.000137,0.000228,0.000162,0.000245,0.000170,0.000170,0.000146,0.000188,0.000132,0.000175,0.000162
15,0.000573,0.000463,0.000485,0.000437,0.000420,0.000374,0.000363,0.000401,0.000426,0.000380,0.000385,0.000388,0.000328,0.000377,0.000331,0.000383,0.000381,0.000373,0.000349,0.000305,0.000319,0.000340,0.000315,0.000263,0.000366,0.000378,0.000322,0.000256,0.000245,0.000276,0.000230,0.000306,0.000298,0.000302,0.000255,0.000248,0.000270,0.000313,0.000281,0.000277,0.000271,0.000244,0.000218,0.000226,0.000213,0.000189,0.000178,0.000178,0.000188,0.000194,0.000240,0.000218,0.000173,0.000276,0.000181,0.000212,0.000149,0.000195,0.000088,0.000155,0.000135
16,0.000626,0.000616,0.000474,0.000464,0.000425,0.000451,0.000467,0.000381,0.000439,0.000360,0.000395,0.000427,0.000415,0.000441,0.000288,0.000391,0.000363,0.000373,0.000394,0.000341,0.000331,0.000389,0.000354,0.000355,0.000340,0.000350,0.000325,0.000298,0.000252,0.000284,0.000290,0.000297,0.000359,0.000292,0.000309,0.000359,0.000333,0.000347,0.000304,0.000295,0.000244,0.000340,0.000280,0.000243,0.000304,0.000203,0.000305,0.000237,0.000293,0.000275,0.000364,0.000215,0.000175,0.000233,0.000233,0.000216,0.000207,0.000160,0.000189,0.000182,0.000183
